Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000144,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000145,284,FALSE,Rx,0,6,2,2,0,0,0,0,0,0
1000146,288,FALSE,Rx,0,8,36,BB,0,0,0,7B,A0,6
1000147,000000AE,FALSE,Rx,0,8,20,21,0,0,0,0,1,0
1000148,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000149,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,92
1000150,000003D4,FALSE,Rx,0,8,83,83,0,0,8,0,0,0
1000151,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,20,4D
1000152,480,FALSE,Rx,0,8,19,20,96,8B,19,88,0,B5
1000153,488,FALSE,Rx,0,8,1F,11,0,7F,FE,0,FF,70
1000154,0000048A,FALSE,Rx,0,8,22,0,0,2,0,0,0,20
1000155,000000D0,FALSE,Rx,0,6,A0,40,0,30,0,D0,0,0
1000156,000003D2,FALSE,Rx,0,7,72,40,33,0,1,0,0,0
1000157,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000158,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,1
1000159,392,FALSE,Rx,0,8,48,40,1,1,0,0,0,0
1000160,000003B2,FALSE,Rx,0,8,0,80,7,0,0,0,0,0
1000161,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000162,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,16
1000163,488,FALSE,Rx,0,8,EF,11,0,7F,FE,0,FF,80
1000164,000000AE,FALSE,Rx,0,8,30,31,0,0,0,0,1,0
1000165,676,FALSE,Rx,0,2,16,C1,0,0,0,0,0,0
1000166,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,93
1000167,000001AC,FALSE,Rx,0,8,CF,1,10,0,69,25,0,92
1000168,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,30,5D
1000169,000003A0,FALSE,Rx,0,8,CE,1,0,0,0,0,0,CF
1000170,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000171,000004A8,FALSE,Rx,0,8,0,40,7,80,0,20,10,F7
