Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1000185,0000038A,FALSE,Rx,0,4,18,80,B8,20,0,0,0,0
1000186,000000AE,FALSE,Rx,0,8,40,41,0,0,0,0,1,0
1000187,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,94
1000188,000001AC,FALSE,Rx,0,8,CC,2,10,0,69,25,0,92
1000189,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,40,2D
1000190,000003A0,FALSE,Rx,0,8,CD,2,0,0,0,0,0,CF
1000191,320,FALSE,Rx,0,8,22,30,0,1,0,7,0,BF
1000192,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000193,000000D0,FALSE,Rx,0,6,92,63,0,30,11,D0,0,0
1000194,000004A8,FALSE,Rx,0,8,0,40,3,80,0,20,20,C3
1000195,000005A0,FALSE,Rx,0,8,2B,1,0,2F,0,0,50,2B
1000196,000002B7,FALSE,Rx,0,8,2,2,0,0,0,0,0,0
1000197,0000056A,FALSE,Rx,0,8,DB,10,0C,FF,18,0,0,20
1000198,0000059D,FALSE,Rx,0,8,0,AA,ED,0,0,0,0,0
1000199,366,FALSE,Rx,0,8,52,2,0,0,0,0,80,D0
1000200,000005C0,FALSE,Rx,0,8,5,0,0,A6,21,0,8,8A
1000201,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000202,284,FALSE,Rx,0,6,0B,0B,0,0,0,0,0,0
1000203,288,FALSE,Rx,0,8,8A,BA,0,0,0,7B,15,6
1000204,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000205,480,FALSE,Rx,0,8,84,20,96,8B,19,88,10,38
1000206,488,FALSE,Rx,0,8,DE,11,11,7F,FE,0,FF,A0
1000207,0000048A,FALSE,Rx,0,8,B2,0,0,2,0,0,0,B0
1000208,588,FALSE,Rx,0,8,E8,0,7F,0,0,0,0,8B
1000209,0000058C,FALSE,Rx,0,8,90,20,0,0,0,0,0,0
1000210,50,FALSE,Rx,0,4,0,5,58,5D,0,0,0,0
1000211,000000AE,FALSE,Rx,0,8,50,51,0,0,0,0,1,0
1000212,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,95
1000213,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,50,3D
1000214,000004A0,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
1000215,000000D0,FALSE,Rx,0,6,B5,74,0,30,1,F0,0,0
1000216,000000C2,FALSE,Rx,0,8,0,80,0,0,80,10,A3,6F
1000217,000003D0,FALSE,Rx,0,6,0,81,0,0,0,79,0,0
1000218,368,FALSE,Rx,0,8,F4,5,8,FE,7,FE,FE,0
1000219,280,FALSE,Rx,0,8,40,0B,0,0,11,0,0C,11
1000220,380,FALSE,Rx,0,8,0,7D,0,0,0,0,0,15
1000221,488,FALSE,Rx,0,8,CE,11,11,7F,FE,0,FF,B0
1000222,000003D4,FALSE,Rx,0,8,85,85,0,0,8,0,0,0
1000223,440,FALSE,Rx,0,8,20,0,0,FE,7F,1,4,0
1000224,540,FALSE,Rx,0,8,0,0,FF,0,FF,0,2,0
1000225,000000AE,FALSE,Rx,0,8,60,61,0,0,0,0,1,0
1000226,722,FALSE,Rx,0,7,1,3,5,1,4,0,0,0
1000227,000001A0,FALSE,Rx,0,8,0,43,0,0,FE,FE,0,96
1000228,000001AC,FALSE,Rx,0,8,CD,3,10,0,69,25,0,92
1000229,320,FALSE,Rx,0,8,22,30,0,1,0,8,0,BF
1000230,000002A0,FALSE,Rx,0,8,0,0,0,6D,0,0,60,0D
1000231,000003A0,FALSE,Rx,0,8,CC,3,0,0,0,0,0,CF
1000232,000000C2,FALSE,Rx,0,8,0,80,0,0,80,20,CC,5F
